State,City,Locations,Courts
CA,Corona,4,20
CA,Discovery Bay,4,20
CA,El Centro,4,11
CA,Glendale,4,23
CA,Glendora,4,12
CA,Grass Valley,4,22
CA,Healdsburg,4,9
CA,Los Banos,4,19
CA,Mammoth Lakes,4,13
CA,Napa,4,15
CA,Oceanside,4,32
CA,Richmond,4,22
CA,San Marcos,4,19
CA,San Ramon,4,17
CA,Santa Barbara,4,25
CA,Tehachapi,4,14
CA,Vacaville,4,22
CA,Victorville,4,10
CA,Vista,4,39
CA,Walnut Creek,4,25
CA,Arcadia,3,22
CA,Atascadero,3,13
CA,Belmont,3,5
CA,Benicia,3,5
CA,Buena Park,3,8
CA,Carmel Highlands,3,10
CA,Chino,3,6
CA,Citrus Heights,3,18
CA,Coronado,3,26
CA,Costa Mesa,3,9
CA,Culver City,3,9
CA,Cypress,3,19
CA,Daly City,3,12
CA,Danville,3,14
CA,Diamond Bar,3,12
CA,El Cajon,3,7
CA,El Dorado Hills,3,10
CA,Eureka,3,20
CA,Fairfield,3,32
CA,Fair Oaks,3,11
CA,Fallbrook,3,13
CA,Gardena,3,41
CA,Garden Grove,3,7
CA,Hayward,3,10
CA,La Ca̱ada Flintridge,3,6
CA,Laguna Beach,3,11
CA,La Mesa,3,16
CA,Livermore,3,18
CA,Los Altos,3,18
CA,Los Gatos,3,11
CA,Manhattan Beach,3,17
CA,Marina del Rey,3,10
CA,Martinez,3,19
CA,Merced,3,14
CA,Mill Valley,3,10
CA,Mission Viejo,3,18
CA,Moorpark,3,16
CA,Mountain View,3,17
CA,Murrieta,3,6
CA,Ojai,3,8
CA,Ontario,3,8
CA,Orange,3,7
CA,Orangevale,3,6
CA,Oroville,3,9
CA,Palm Springs,3,20
CA,Piedmont,3,14
CA,Pismo Beach,3,12
CA,Pleasanton,3,21
CA,Poway,3,44
CA,Rancho Cucamonga,3,8
CA,Rancho Palos Verdes,3,14
CA,Redding,3,23
CA,Redlands,3,12
CA,Redondo Beach,3,4
CA,San Carlos,3,10
CA,San Jacinto,3,29
CA,San Mateo,3,11
CA,Santa Cruz,3,18
CA,Seal Beach,3,32
CA,Simi Valley,3,26
CA,South Lake Tahoe,3,14
CA,Templeton,3,10
CA,Truckee,3,6
CA,Turlock,3,14
CA,Ukiah,3,6
CA,Vallejo,3,9
CA,Visalia,3,16
CA,Agoura Hills,2,8
CA,Aguanga,2,10
CA,Altadena,2,8
CA,Aptos,2,17
CA,Arroyo Grande,2,7
CA,Barstow,2,10
CA,Beaumont,2,13
CA,Blue Lake,2,7
CA,Brentwood,2,11
CA,Canyon Lake,2,12
CA,Carson,2,16
